ID	Image	Sent	Received	Height	Width	Country	City	Sender	Description	Tags	Images
20190602SE2	2019_06_02 SE Technic museum 3D.jpg	02.06.2019	05.06.2019	105	148	SE	Stockholm	I	Музей техники в Стокгольме.	museum, stereo	
20190614LV	2019_06_14 LV.jpg		14.06.2019	167	118	LV	Riga	I	Поздравила Сашу с днем рождения		
20190614GB	2019_06_14 GB Niagara.jpg		14.06.2019	100	139	GB	Kingston Upon Hall	mother	Открытку привезла маме подруга из США, а мама переслала ее мне.		
20190614SE	2019_06_14 SE Katarinahissen.jpg	14.06.2019	18.06.2019	180	130	SE	Stockholm	I		travel_poster_stockholm	
20190616LV	2019_06_16 LV Zila govs.jpg	16.06.2019	18.06.2019	160	104	LV	Riga	Alex, I	Пообедали в ресторане "Zila govs" на подарочную карту, которую Саше подарили на день рождения. А в ресторане были рекламные открытки.	advert	
20190618SE	2019_06_18 SE Fika.jpg	18.06.2019	21.06.2019	166	116	SE	Solna	I	Еще одна шведская национальная традиция - фика		
20190619SE	2019_06_19 SE Cat.jpg	19.06.2019	25.06.2019	166	117	SE	Stockholm	I	Прислала я из командировки в Швецию.		
20190620SE	2019_06_20 SE Fishing Cow.jpg	20.06.2019	25.06.2019	148	105	SE	Stockholm	I	Прислала я из командировки в Швецию.		
20190625SE	2019_06_25 SE Map.jpg	25.06.2019	28.06.2019	166	116	SE	Stockholm	Alex		map	
20190701GB	2019_07_01 GB Coin.jpg	27.06.2019	01.07.2019	105	147	GB	Kingston Upon Hall	mother	Открытка с монетой от мамы.	coin	
20190521IT	2019_05_21 IT Rome.jpg	21.05.2019	02.07.2019	120	170	IT	Rome	LudmilaViktor	Людмила и Виктор прислали из поездки в Рим		
20190630LV	2019_06_30 LV Sigulda.jpg	30.06.2019	02.07.2019	147	210	LV	Sigulda	Alex, I	Гуляли по знаменитым тропинкам вблизи Сигулды. Покатались на канатном трамвайчике.		
20190704GB	2019_07_04 GB Claymore hotel.jpg		04.07.2019	104	148	GB	Scotland	mother			
20190709DK	2019_07_09 DK Cisternerne.jpg	09.07.2019	15.07.2019	148	104	DK	Copenhagen	Alex, I	Посетили [Cisternerne|https://cisternerne.dk/en/], где когда-то запасали для Копенгагена воду.		
20190709DK2	2019_07_09 DK Dragon.jpg	09.07.2019	15.07.2019	166	105	DK	Copenhagen	Alex, I	Саша купил по дороге в Tivoli Gardens в сувенирном магазине.		
20190709DK3	2019_07_09 DK Copenhagen.jpg	09.07.2019	15.07.2019	167	105	DK	Copenhagen	Alex, I	Ночной Копенгаген. Купили в сувенирном магазине по дороге в Tivoli Gardens.		
20190709DK4	2019_07_09 DK Kobenhavn.jpg	09.07.2019	15.07.2019	147	210	DK	Copenhagen	Alex, I	Датский иллюстратор [Martin Schwartz|https://www.martinschwartz.com/] создал этот коллаж чтобы передать дух Копенгагена. На открытке собраны знаковые строения Копенгагена.		
20190709DK5	2019_07_09 DK BD card.jpg	09.07.2019	09.07.2019	133	133	DK	Copenhagen	Alex, I	Купила в Tivoli, потому что очень понравилась.	volume	
20190710DK	2019_07_10 DK Copenhagen.jpg	10.07.2019	15.07.2019	108	159	DK	Copenhagen	Alex, I	Купили эту открытку потому что она из толстого картона, такой у меня еще не было.		
20190710DK2	2019_07_10 DK Solar Eclipse 1.jpg	10.07.2019	15.07.2019	100	210	DK	Copenhagen	Alex, I	Купили в планетарии Тихо Браге. Открытка с солнечным затмением	stereo	4
20190710DK3	2019_07_10 DK Round Tower.jpg	10.07.2019	15.07.2019	142	210	DK	Copenhagen	Alex, I	Купили в Круглой башне. Так она выгдялела в 1840 году. Сейчас выглядит так же, только домов вокруг больше стало.		
20190710DK4	2019_07_10 DK Our Savoir church.jpg	10.07.2019	17.07.2019	147	104	DK	Copenhagen	Alex, I	Купили в церкви Спасителя в Копенгагене, после того как забрались по винтовой наружней лестнице вокруг купола.		
20190711DK	2019_07_11 DK Botanical garden.jpg	11.07.2019	17.07.2019	147	104	DK	Copenhagen	Alex, I	Купили в Ботаническом саду.		
20190712DK	2019_07_12 DK Rosenborg castle.jpg	12.07.2019	17.07.2019	115	165	DK	Copenhagen	Alex, I	Купили в замке Розенборг, после осмотра королевских сокровищ.	stereo	
20190722GB	2019_07_22 GB Geologic map.jpg	22.07.2019	25.07.2019	210	147	GB	Scarorough	mother		map	
20190722GB2	2019_07_22 GB Old Scarorough.jpg	22.07.2019	25.07.2019	104	148	GB	Scarorough	mother			
20190723DE	2019_07_23 DE Frankfurt Zoo.jpg	23.07.2019	23.07.2019	120	170	DE	Frankfurt	Alex, I	Открытка из зоопарка во Франкфурте. Очень хороший зоопарк. Животные здоровы и веселы и доступны для обозрения.		
20190723DE2	2019_07_23 DE Frankfurt Zoo ABC.jpg	23.07.2019	29.07.2019	120	170	DE	Frankfurt	Alex, I	Открытка из зоопарка во Франкфурте. Очень хороший зоопарк. Животные здоровы и веселы и доступны для обозрения.	alphabet	
20190720DE	2019_07_20 DE Gutenberg.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Открытка из музея Гутенберга в Майнце. Хороший музей, интересная экспозиция и демонстрации.	museum	
20190720DE1	2019_07_20 DE Gutenberg museum.jpg	20.07.2019	29.07.2019	104	147	DE	Mainz	Alex, I	Открытка из музея Гутенберга в Майнце. Хороший музей, интересная экспозиция и демонстрации.	museum, stereo	
20190720DE2	2019_07_20 DE Mainz Puzzle.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Открытка из туристического центра в Майнце в виде паззла.		
20190720DE3	2019_07_20 DE map.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Открытка из туристического центра в Майнце. Выпуклый рельеф.	volume, map	
20190720DE4	2019_07_20 DE Lama.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Рекламная открытка какого-то заведения африканской кухни.	advert	
20190720DE5	2019_07_20 DE Elephant.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Рекламная открытка какого-то заведения африканской кухни.	advert	
20190720DE6	2019_07_20 DE Lion.jpg	20.07.2019	26.07.2019	104	147	DE	Mainz	Alex, I	Рекламная открытка какого-то заведения африканской кухни.	advert	
20190721DE	2019_07_21 DE Rainbow lion.jpg	21.07.2019	26.07.2019	104	147	DE	Frankfurt	Alex, I	Открытка с мероприятия "Rainbow lion"		
20190722DE	2019_07_22 DE Experimenta.jpg	22.07.2019	26.07.2019	104	147	DE	Frankfurt	Alex, I	Открытка из научного центра EXPERIMINTA	museum	
20190722DE2	2019_07_22 DE Legoland.jpg	22.07.2019	26.07.2019	120	170	DE	Munchen	Aliona, MihailT	Открытка из Мюнхенского Леголенда.		
20190722DE3	2019_07_22 DE Munchen Hofbrauhaus.jpg	22.07.2019	26.07.2019	123	174	DE	Munchen	Aliona, MihailT	Открытка из знаменитого мюнхенского Hofbrauhaus.		
20190722DE4	2019_07_22 DE BMW Cat.jpg	22.07.2019	26.07.2019	104	147	DE	Munchen	Aliona, MihailT	Открытка из музея BMW.	stereo	
20190722DE5	2019_07_22 DE BMW Fractal.jpg	22.07.2019	26.07.2019	104	147	DE	Munchen	Aliona, MihailT	Открытка из музея BMW.	stereo	
20190722DE6	2019_07_22 DE Frankfurt Palmengarten.jpg	22.07.2019	26.07.2019	104	147	DE	Frankfurt	Alex, I	Открытка из ботанического сада во Франкфурте. Большая террирория, красиво ухоженная.		
20190722DE7	2019_07_22 DE BMW.jpg	22.07.2019	26.07.2019	104	210	DE	Munchen	Aliona, MihailT	Открытка из музея BMW.	museum	
20190815SE	2019_08_15 SE Stockholm.jpg	15.08.2019	21.08.2019	166	116	SE	Stockholm	Alex			
20190823LV	2019_08_23 LV Thomas Sabo.jpg		23.08.2019	110	110	LV	Riga	Alex	Подарочная упаковка в виде открытки		
20190830GR	2019_08_30 GR Peloponnese.jpg		30.08.2019	110	160	GR	Peloponnese	mother	Открытка от мамы и Юли с отдыха в Греции		
20190906GR	2019_09_06 GR Cephalonia.jpg		06.09.2019	110	160	GR	Cephalonia	Aliona, MihailT			
20190906GR2	2019_09_06 GR Sparta.jpg		06.09.2019	110	160	GR	Sparta	Aliona, MihailT			
20190906GR3	2019_09_06 GR Peloponnese.jpg		06.09.2019	110	160	GR	Peloponnese	Aliona, MihailT, mother			
20191005LV	2019_10_05 LV La Chouffe1.jpg	05.10.2019	05.10.2019	147	105	LV	Riga	Alex, I	Зашли в пивной магазин Alus Pasaule, который в Берги. Там разных наборов пива - глаза разбегаются. Мы не удержались и купили 6. В наборе La Chouffe оказалась открытка.	advert, beer	2
20191003LV	2019_10_03 LV Lauma.jpg	03.10.2019	07.10.2019			LV	Riga	Alex	Рекламная открытка из магазина Lauma	advert	
